crime_type,year,month,day,hour,location,latitude,longitude
battery,2010,1,20,11,SIDEWALK,41.768267984,-87.687546273
battery,2006,10,30,13,SIDEWALK,41.874802962,-87.737722107
theft,2016,8,28,1,STREET,41.727356848,-87.58544391
criminal damage,2002,4,23,10,RESIDENCE,41.937887003,-87.717347053
criminal damage,2012,6,26,2,PARKING LOT/GARAGE(NON.RESID.),41.735299884,-87.695768531
theft,2003,7,16,22,RESTAURANT,41.874662369,-87.745052295
criminal damage,2009,6,30,11,RESIDENCE,41.738121265,-87.562378839
battery,2010,2,22,20,RESIDENCE,41.742084508,-87.666871364
battery,2014,10,22,22,STREET,41.862830527,-87.717058439
battery,2001,1,17,14,STREET,41.896321687,-87.712538293
battery,2006,10,18,13,ALLEY,41.909085286,-87.692091435
theft,2002,10,31,19,STREET,41.786478582,-87.641265268
criminal damage,2017,6,17,21,RESTAURANT,41.884269714,-87.648925354
theft,2016,8,10,3,RESIDENTIAL YARD (FRONT/BACK),41.691638449,-87.626465785
theft,2002,5,1,9,STREET,41.935299015,-87.772464128
theft,2003,12,29,5,RESIDENCE,41.70324914,-87.709810476
criminal damage,2011,10,25,24,OTHER,41.844162699,-87.695199039
theft,2001,9,29,19,APARTMENT,41.855370172,-87.715254348
theft,2015,3,2,21,RESIDENCE,41.792226027,-87.615915353
theft,2004,5,16,12,BARBERSHOP,41.751307174,-87.603485962
battery,2013,5,30,20,STREET,41.905807129,-87.711774146
theft,2001,3,30,19,RESIDENCE,41.804330926,-87.721166089
criminal damage,2017,3,10,14,GROCERY FOOD STORE,41.937227668,-87.644305471
criminal damage,2001,12,11,2,GROCERY FOOD STORE,41.953553633,-87.745058971
criminal damage,2008,1,2,12,APARTMENT,41.946110024,-87.748027678
theft,2001,7,26,2,COMMERCIAL / BUSINESS OFFICE,41.99303262,-87.783997545
criminal damage,2015,1,26,2,VACANT LOT/LAND,41.802955869,-87.633213475
criminal damage,2004,6,10,7,RESIDENCE,41.939987476,-87.728401207
theft,2005,5,2,11,RESIDENCE PORCH/HALLWAY,41.877361575,-87.70194469
criminal damage,2014,1,14,17,DRUG STORE,41.765755571,-87.576292427
battery,2015,10,5,10,STREET,41.675303713,-87.621501655
battery,2007,7,9,10,RESIDENCE,41.8784291,-87.758376491
theft,2013,10,6,18,STREET,41.918155143,-87.720259489
criminal damage,2002,10,23,2,RESTAURANT,41.70592204,-87.681604302
theft,2010,3,1,22,APARTMENT,41.778600244,-87.665463187
